tensor(3354.0198, device='cuda:0')
tensor(3335.7131, device='cuda:0')
tensor(3325.3936, device='cuda:0')
tensor(3335.3135, device='cuda:0')
tensor(3327.1597, device='cuda:0')
tensor(3327.9299, device='cuda:0')
tensor(3327.0359, device='cuda:0')
tensor(3344.2563, device='cuda:0')
tensor(3349.1252, device='cuda:0')
tensor(3312.9336, device='cuda:0')
tensor(3331.4504, device='cuda:0')
tensor(3339.9250, device='cuda:0')
tensor(3325.0796, device='cuda:0')
tensor(3338.3677, device='cuda:0')
tensor(3335.6047, device='cuda:0')
tensor(3355.0496, device='cuda:0')
tensor(3349.7178, device='cuda:0')
tensor(3343.9524, device='cuda:0')
tensor(3339.4099, device='cuda:0')
tensor(3333.3875, device='cuda:0')
tensor(3348.6533, device='cuda:0')
tensor(3331.4524, device='cuda:0')
tensor(3342.3655, device='cuda:0')
tensor(3338.2927, device='cuda:0')
tensor(3325.8091, device='cuda:0')
tensor(3345.9343, device='cuda:0')
tensor(3314.0786, device='cuda:0')
tensor(3337.4082, device='cuda:0')
tensor(3328.7834, device='cuda:0')
tensor(3321.3076, device='cuda:0')
tensor(3336.6692, device='cuda:0')
tensor(3340.9905, device='cuda:0')
tensor(3329.5073, device='cuda:0')
tensor(3326.6624, device='cuda:0')
tensor(3319.5208, device='cuda:0')
tensor(3328.3179, device='cuda:0')
tensor(3332.6777, device='cuda:0')
tensor(3325.2151, device='cuda:0')
tensor(3337.2012, device='cuda:0')
tensor(3355.4922, device='cuda:0')
tensor(3329.1011, device='cuda:0')
tensor(3337.8557, device='cuda:0')
tensor(3336.6785, device='cuda:0')
tensor(3322.8809, device='cuda:0')
tensor(3358.5852, device='cuda:0')
tensor(3382.4749, device='cuda:0')
tensor(3361.9375, device='cuda:0')
tensor(3353.7266, device='cuda:0')
tensor(3339.0154, device='cuda:0')
tensor(3321.4189, device='cuda:0')
tensor(3347.5530, device='cuda:0')
tensor(3337.8203, device='cuda:0')
tensor(3355.8044, device='cuda:0')
tensor(3346.0564, device='cuda:0')
tensor(3329.4592, device='cuda:0')
tensor(3333.1343, device='cuda:0')
tensor(3366.3040, device='cuda:0')
tensor(3339.8447, device='cuda:0')
tensor(3326.1311, device='cuda:0')
tensor(3310.2825, device='cuda:0')
tensor(3319.5288, device='cuda:0')
tensor(3331.8604, device='cuda:0')
tensor(3341.8938, device='cuda:0')
tensor(3316.9949, device='cuda:0')
tensor(3322.6301, device='cuda:0')
tensor(3322.2246, device='cuda:0')
tensor(3320.0923, device='cuda:0')
tensor(3331.6699, device='cuda:0')
tensor(3341.2534, device='cuda:0')
tensor(3332.2837, device='cuda:0')
tensor(3333.6055, device='cuda:0')
tensor(3323.7146, device='cuda:0')
tensor(3328.9692, device='cuda:0')
tensor(3301.1001, device='cuda:0')
tensor(3321.3396, device='cuda:0')
tensor(3301.8096, device='cuda:0')
tensor(3322.9104, device='cuda:0')
tensor(3315.7546, device='cuda:0')
tensor(3318.6343, device='cuda:0')
tensor(3333.5310, device='cuda:0')
tensor(3309.8853, device='cuda:0')
tensor(3337.6953, device='cuda:0')
tensor(3327.3965, device='cuda:0')
tensor(3328.0251, device='cuda:0')
tensor(3316.3264, device='cuda:0')
tensor(3321.0046, device='cuda:0')
tensor(3325.5068, device='cuda:0')
tensor(3306.7046, device='cuda:0')
tensor(3313.7441, device='cuda:0')
tensor(3319.6421, device='cuda:0')
tensor(3329.9983, device='cuda:0')
tensor(3316.7371, device='cuda:0')
tensor(3326.2617, device='cuda:0')
tensor(3323.3748, device='cuda:0')
tensor(3327.4690, device='cuda:0')
tensor(3312.0786, device='cuda:0')
tensor(3322.4282, device='cuda:0')
tensor(3313.8911, device='cuda:0')
tensor(3321.9912, device='cuda:0')
tensor(3310.1379, device='cuda:0')
tensor(3303.2747, device='cuda:0')
tensor(3313.7788, device='cuda:0')
tensor(3333.9487, device='cuda:0')
tensor(3320.3486, device='cuda:0')
tensor(3313.2646, device='cuda:0')
tensor(3303.1968, device='cuda:0')
tensor(3319.4775, device='cuda:0')
tensor(3305.8440, device='cuda:0')
tensor(3305.6873, device='cuda:0')
tensor(3323.3206, device='cuda:0')
tensor(3304.4729, device='cuda:0')
tensor(3307.0505, device='cuda:0')
tensor(3304.0415, device='cuda:0')
tensor(3299.6785, device='cuda:0')
tensor(3294.7334, device='cuda:0')
tensor(3302.2698, device='cuda:0')
tensor(3300.5496, device='cuda:0')
tensor(3304.7993, device='cuda:0')
tensor(3292.8816, device='cuda:0')
tensor(3313.3521, device='cuda:0')
tensor(3297.6846, device='cuda:0')
tensor(3297.1006, device='cuda:0')
tensor(3285.8149, device='cuda:0')
tensor(3299.3115, device='cuda:0')
tensor(3313.0105, device='cuda:0')
tensor(3305.1179, device='cuda:0')
tensor(3319.0352, device='cuda:0')
tensor(3305.9595, device='cuda:0')
tensor(3298.5566, device='cuda:0')
